면적 (km²),등록업종총합,정류장수,노선수,면적대비등록업종
23.91,5623,349,106,235.17356754496026
9.96,31186,178,103,3131.1244979919675
21.87,8928,323,67,408.2304526748971
16.86,12314,435,58,730.367734282325
17.06,13718,269,41,804.103165298945
14.22,15228,306,73,1070.886075949367
18.5,19446,380,48,1051.1351351351352
24.58,15176,602,99,617.412530512612
23.6,13048,413,67,552.8813559322034
20.65,15144,359,46,733.3656174334141
35.44,20578,514,57,580.6433408577878
29.71,18808,501,71,633.0528441602154
17.63,12476,456,107,707.6574021554169
23.85,18074,562,97,757.8197064989517
17.41,18038,319,56,1036.0712234348075
41.45,24000,566,49,579.0108564535585
20.12,17032,486,79,846.520874751491
13.02,10976,345,58,843.010752688172
24.55,16718,465,101,680.9775967413442
16.36,11690,438,94,714.5476772616137
29.57,16084,466,86,543.9296584376057
46.98,14744,600,93,313.835674755215
39.5,26416,499,91,668.7594936708861
33.88,24404,415,55,720.3069657615112
24.59,20508,369,21,833.9975599837333
