자치구,총생활인구수,승하차평균승객수,정류장수,노선수
강남구,840824.4066766667,250.13943942017832,499,91
강동구,486254.38096,196.27925887802368,369,21
강북구,277861.37009833334,261.81187627501794,413,67
강서구,529865.12006,175.7070705169233,566,49
관악구,455615.5005316667,312.269713569566,466,86
광진구,362877.895265,236.87568335413886,269,41
구로구,385122.734525,233.37569060773484,486,79
금천구,224484.10676999998,239.8496740547588,345,58
노원구,489790.5912833333,175.7213787777168,514,57
도봉구,263742.1223616667,210.71489554362591,359,46
동대문구,344443.8496,260.5334473823241,306,73
동작구,378934.7943,243.8673839317039,438,94
마포구,454902.39638666663,205.14298258152783,562,97
서대문구,357135.32532,218.58169309788926,456,107
서초구,589515.4864933334,249.10580516131296,600,93
성동구,352859.01912833337,190.67625652293327,435,58
성북구,410840.9448083333,246.40135180537166,602,99
송파구,749636.1633316667,227.76533257716923,415,55
양천구,368517.65625500004,191.40761213656066,319,56
영등포구,493018.42851,241.5842592980838,465,101
용산구,292761.18298,272.3771144606069,323,67
은평구,417520.9579133334,211.17118020044998,501,71
종로구,293713.0875683333,257.42364829016543,349,106
중구,282324.96236,236.34463421668215,178,103
중랑구,338212.50253833336,173.61812357401305,380,48
